STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
2,3507730,20846,111-Cty Co Phan Tap Doan KIDO ,,N
3,3507731,20846,111-Cty Co Phan Tap Doan KIDO ,,N
51,3427995,11119,110-Cty TNHH Lotte Viet Nam,,N
52,3427998,11119,110-Cty TNHH Lotte Viet Nam,KD nhung ban  cham,Y
60,3493826,17639,100-Cty TNHH Eikodo Viet Nam-NR,,N
70,3063378,12015,130-CTY TNHH TM&CBTP Tien Du,,N
71,3317725,10023,111-Cty Ajinomoto Bien Hoa ,kd binh thuong,Y
75,3416065,10023,111-Cty Ajinomoto Bien Hoa ,,N
76,3416066,10023,111-Cty Ajinomoto Bien Hoa ,kd binh thuong,Y
77,3416071,10023,111-Cty Ajinomoto Bien Hoa ,kd binh thuong,Y
78,3416680,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,,N
79,3416681,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,,N
92,3102394,11119,110-Cty TNHH Lotte Viet Nam,,N
93,3102395,11119,110-Cty TNHH Lotte Viet Nam,,N
96,3103653,15348,130-CTY CP SX Tra Hung Phat,KD nhung ban  cham,Y
97,3103654,15348,130-CTY CP SX Tra Hung Phat,,N
99,3284188,20846,111-Cty Co Phan Tap Doan KIDO ,kd binh thuong,Y
100,3284196,20846,111-Cty Co Phan Tap Doan KIDO ,,N
106,3368786,20846,111-Cty Co Phan Tap Doan KIDO ,,N
132,3348492,11119,110-Cty TNHH Lotte Viet Nam,,N
136,3496755,20846,111-Cty Co Phan Tap Doan KIDO ,,N
137,3496756,20846,111-Cty Co Phan Tap Doan KIDO ,,N
140,3173260,11841,130-Cty TNHH Saigon Ve Wong,,N
158,3005069,11266,110-Cty CP Tap Doan Muoi Mien Nam,,N
159,3005070,11266,110-Cty CP Tap Doan Muoi Mien Nam,kd binh thuong,Y
160,3005073,10023,111-Cty Ajinomoto Bien Hoa ,kd binh thuong,Y
161,3005075,10023,111-Cty Ajinomoto Bien Hoa ,kd binh thuong,Y
162,3005077,10023,111-Cty Ajinomoto Bien Hoa ,,N
163,3225551,20846,111-Cty Co Phan Tap Doan KIDO ,,N
166,3295195,19028,110-Cty CP Vinamit-NR,,N
167,3295196,19028,110-Cty CP Vinamit-NR,,N
168,3295197,19028,110-Cty CP Vinamit-NR,,N
169,3295198,19028,110-Cty CP Vinamit-NR,,N
170,3295199,19028,110-Cty CP Vinamit-NR,,N
171,3295200,19028,110-Cty CP Vinamit-NR,,N
172,3295355,10023,111-Cty Ajinomoto Bien Hoa ,,N
174,3341297,19939,100-Cty TNHH Muoi Thanh Phat-NR,kd binh thuong,Y
175,3341298,19939,100-Cty TNHH Muoi Thanh Phat-NR,,N
176,3453969,11119,110-Cty TNHH Lotte Viet Nam,,N
180,3505767,19219,130-Cty TNHH Nabati Viet Nam,,N
188,3050100,14337,130-Cty TNHH VINH TIEN,,N
189,3054454,11266,110-Cty CP Tap Doan Muoi Mien Nam,,N
190,3054513,14337,130-Cty TNHH VINH TIEN,kd binh thuong,Y
191,3054515,14337,130-Cty TNHH VINH TIEN,,N
192,3054516,14337,130-Cty TNHH VINH TIEN,,N
193,3054518,14337,130-Cty TNHH VINH TIEN,,N
194,3054519,14337,130-Cty TNHH VINH TIEN,,N
195,3054520,14337,130-Cty TNHH VINH TIEN,,N
196,3054535,15348,130-CTY CP SX Tra Hung Phat,,N
206,3258064,10023,111-Cty Ajinomoto Bien Hoa ,,N
213,3097779,15348,130-CTY CP SX Tra Hung Phat,,N
224,3488561,17259,100-Cty TNHH Le Trung Thien-NR,,N
225,3488562,17259,100-Cty TNHH Le Trung Thien-NR,,N
226,3488563,17259,100-Cty TNHH Le Trung Thien-NR,,N
227,3489126,10023,111-Cty Ajinomoto Bien Hoa ,KD nhung ban  cham,Y
228,3489128,11119,110-Cty TNHH Lotte Viet Nam,,N
