STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS,,,
1,3436535,11773,110-CTy CP SX Nhua Duy Tan,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
2,3507730,20846,111-Cty Co Phan Tap Doan KIDO ,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
3,3507731,20846,111-Cty Co Phan Tap Doan KIDO ,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
4,3507857,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
5,3507858,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
6,3517119,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
7,3517120,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
8,3517121,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
9,3517501,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
10,3517622,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
11,3518223,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
12,3554245,11773,110-CTy CP SX Nhua Duy Tan,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
13,3550852,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
