ITEM,VENDOR,STATUS
3436535,11773,Y
3507857,11773,N
3507858,11773,Y
3517501,11773,Y
3517622,11773,Y
3518223,15208,N
3554245,11773,N
3550852,11773,Y
3430008,16964,Y
3430009,16964,Y
3430010,16964,N
3554248,11773,N
3543335,15208,N
3552977,11773,Y
3348369,16964,Y
3550808,15208,Y
3547927,11773,N
3541465,15208,Y
3541466,15208,Y
3552978,11773,N
3552976,11773,Y
3518675,15208,Y
3518676,15208,Y
3554249,11773,N
3554247,11773,N
3536487,15208,Y
3528752,15208,Y
3550848,11773,N
3550850,11773,Y
3542949,16964,Y
3542950,16964,Y
3519234,11773,N
3404156,11773,N
3507586,11773,Y
3554236,15208,Y
3426542,12995,Y
3426543,12995,Y
3437855,11773,Y
3437856,11773,Y
3438238,11773,N
3519560,11773,Y
3519561,11773,Y
3520312,20888,Y
3520313,20888,Y
3055280,12989,Y
3055281,10985,Y
3055284,10985,Y
3055286,10985,N
3055287,10985,Y
3055288,10985,Y
3055289,10985,Y
3055291,10985,Y
3062359,10985,Y
3318296,16964,N
3190990,11777,Y
3190991,11777,Y
3501372,15208,Y
3509230,11773,N
3509231,11773,N
3509233,11773,N
3509234,11773,N
3509236,11773,N
3101964,13979,N
3101976,13979,N
3102010,13979,N
3103381,10985,Y
3103382,10985,Y
3283554,11773,N
3368148,11773,N
3368149,11773,N
3368150,11773,N
3368151,11773,Y
3475382,16964,N
3475383,16964,Y
3475665,16964,N
3476194,11773,Y
3476195,11773,N
3476196,11773,N
3476198,11773,Y
3476199,11773,N
3476200,11773,N
3476201,11773,N
3476202,11773,N
3538419,15208,Y
3543870,11773,N
3544246,11773,Y
3218628,11773,Y
3517621,11773,N
3541545,11773,Y
3557777,15208,Y
3557783,11773,Y
3557782,11773,N
3554246,11773,N
3534601,15208,Y
3348367,16964,Y
3348368,16964,Y
3448562,11773,N
3448564,11773,N
3419927,11773,N
3385771,11773,Y
3430007,16964,Y
3520753,11773,Y
3295021,11773,N
3295023,11773,N
3412002,11773,N
3497612,16964,N
3403438,11773,N
3533694,15208,Y
3533695,15208,Y
3459960,11773,Y
3556029,11773,Y
3490336,11773,N
3055152,11773,Y
3055153,11773,Y
3055154,11773,Y
3055204,11773,Y
3260451,11773,N
3260454,11773,Y
3314547,11773,N
3357483,16964,N
3327143,16964,Y
3327144,16964,Y
3382940,11773,Y
3382941,11773,Y
3383606,13468,Y
3383607,13468,N
3383608,13468,Y
3383609,13468,Y
3397927,11011,Y
3012794,12989,Y
3031987,11773,Y
3031988,11773,Y
3031989,11773,Y
3032106,11773,Y
3253175,12989,Y
3457912,11773,N
3457913,11773,N
3457914,11773,Y
3457915,11773,Y
3279756,11773,Y
3279757,11773,Y
3325237,11773,Y
3444318,11773,N
3444794,11011,Y
3350607,16964,N
3350608,16964,N
3449943,16964,Y
3181800,13979,N
3389078,11773,Y
3493317,11773,N
3493318,11773,Y
3493423,15208,N
3493424,15208,N
3390753,11773,N
3390754,11773,Y
3390755,11773,Y
3494100,13468,Y
3494101,13468,Y
3494102,13468,Y
3494103,13468,Y
3422584,11773,N
3392947,11773,Y
3538906,15208,Y
3538907,15208,Y
3449947,16964,Y
3555039,11773,Y
3134265,11773,Y
3387567,16964,Y
3387568,16964,Y
3387569,16964,Y
3479552,11773,N
3434401,11773,N
3434402,11773,N
3434403,11773,N
3434405,11773,N
3506580,15208,Y
3515856,11773,Y
3531392,15208,Y
3419926,11773,N
3523140,15208,Y
3523141,15208,Y
3523181,11773,Y
3523363,11773,Y
3523364,11773,N
3523365,11773,N
3430483,11777,Y
3430484,11777,Y
3430485,11777,Y
3440906,16964,N
3521071,11773,Y
3521072,11773,N
3521073,11773,N
3521074,11773,N
3374925,16964,Y
3374926,16964,Y
3374927,16964,Y
3480412,11773,Y
3480413,11773,N
3480422,11773,Y
3403272,11773,N
3404154,11773,Y
3414888,11773,Y
3508978,11773,Y
3382457,12989,N
3487359,11773,N
3487361,11773,N
3487363,11773,N
3487364,11773,N
3487366,12989,Y
3487674,11773,N
3496126,15208,Y
3496127,15208,Y
3223203,12989,Y
3288346,11773,Y
3372352,16964,N
3459152,11773,N
3528748,15208,N
3528749,15208,Y
3528750,15208,Y
3433469,16964,N
3513945,11773,N
3513947,11773,N
3513972,11773,N
3524413,11773,N
3524414,11773,N
3524415,11773,N
3524416,11773,N
3311633,10985,N
3311748,16964,Y
3312777,11773,N
3312779,11773,Y
3312780,11773,Y
3458930,11773,N
3446423,11773,N
3446427,11773,N
3081035,11773,Y
3556424,11773,Y
3535085,15208,Y
3556030,11773,Y
3392119,11011,Y
3392121,11011,Y
3392948,11773,Y
3392949,11773,Y
3392951,11773,N
3371132,10985,Y
3477798,18833,Y
3477799,18833,Y
3477800,18833,Y
3473447,18833,Y
3364612,16964,Y
3455364,11773,N
3455946,11011,Y
3406659,16964,Y
3406717,11773,Y
3406719,11773,Y
3406721,11773,Y
3406723,11773,Y
3507585,11773,N
3419604,11773,Y
3422258,11773,Y
3422250,11773,N
3519233,11773,Y
3392950,11773,Y
3517502,11773,N
3390756,11773,Y
3476197,11773,N
3011823,11773,N
3509235,11773,N
3438240,11773,Y
3436536,11773,Y
3434404,11773,N
3552975,11773,Y
3368152,11773,Y
3537737,15208,N
3548188,11773,Y
3548189,11773,Y
3548191,11773,Y
