*Item,Descr,*Source,*Dest,*Sourcing,Factor,TransMode,ShipCal,ArrivCal,MajorShipQty,MinorShipQty,RoundingFactor,Disc,Eff,UDC_NOTE_CREATESS,UDC_NOTE_DISC,ONOFF
3000558,Pho BICHCHI chay nam huong 60g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,30.000,30.000,.500,,,,,false
3002270,Chuoi say Vinamit 250g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,24.000,24.000,.500,,,,,false
3002275,Mit say Vinamit 500g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,10.000,10.000,.500,,,,,false
3002316,Mit say Vinamit 150g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,30.000,30.000,.500,,,,,false
3002319,Khoai lang say Vinamit 250g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,20.000,20.000,.500,,,,,false
3002505,Tcay say Vinamit 250g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,20.000,20.000,.500,,,,,false
3002516,Mit say Vinamit 100g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,40.000,40.000,.500,,,,,false
3003245,Bo MAGARINE TUONG AN 200g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,60.000,60.000,.500,,,,,false
3003246,Bo MAGARINE TUONG AN 80g,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,100.000,100.000,.500,,,,,false
3003356,Dau me TUONGAN 1L,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,12.000,12.000,.500,,,,,false
3003358,Dau dnanh TUONGAN 1L,801,160,SOURCING,1.000,TRUCK_801_160_5,CAL-DC-STORE_T3-T4-T5-T6-T7-CN, ,12.000,12.000,.500,,,,,false
