STT,ITEM,DESCR,VENDOR,TINH TRANG,STATUS
1,3055281,-,10985,,Y
2,3055284,-,10985,,Y
3,3055286,-,10985,,Y
4,3055287,Co toilet Eastman NO080330,10985,,Y
5,3055288,-,10985,,Y
6,3055289,-,10985,,Y
7,3055291,-,10985,,Y
8,3062359,Ban chai goEastman NO020310,10985,KHONG KINH DOANH,N
9,3103381,Ban chai nhua cha mongNO110011,10985,KHONG KINH DOANH,N
10,3103382,-,10985,,Y
11,3311633,Ban c.san c.nhuaAnchor091105,10985,KHONG KINH DOANH,N
12,3371132,Co toilet xoan Anchor 171101,10985,KHONG KINH DOANH,N
13,3397927,-,11011,,Y
14,3444794,-,11011,,Y
15,3392119,-,11011,,Y
16,3392121,-,11011,,Y
17,3455946,-,11011,,Y
18,3436535,-,11773,,Y
19,3507857,-,11773,,Y
20,3507858,-,11773,,Y
21,3517501,-,11773,,Y
22,3517622,-,11773,,Y
23,3554245,-,11773,KHONG KINH DOANH,N
24,3550852,Tu nhuaShino 5N(105x48x130)cm*,11773,KHONG KINH DOANH,N
25,3554248,Sot nhua vuong soc nho-1335,11773,KHONG KINH DOANH,N
26,3552977,-,11773,,Y
27,3547927,-,11773,,Y
28,3552978,-,11773,,Y
29,3552976,-,11773,,Y
30,3554249,Sot nhua vuong soc lon-1336,11773,KHONG KINH DOANH,N
31,3554247,Sot nhua tron soc lon-1334,11773,KHONG KINH DOANH,N
32,3550848,-,11773,KHONG KINH DOANH,N
33,3550850,Tu nhuaShino 4N(105x48x105)cm*,11773,KHONG KINH DOANH,N
34,3519234,Xo nhua nap quai sat 20L,11773,KHONG KINH DOANH,N
35,3404156,Ke chen nap DT0380/3 3n lon,11773,KHONG KINH DOANH,N
36,3507586,-,11773,,Y
37,3437855,-,11773,,Y
38,3437856,-,11773,,Y
39,3438238,-,11773,,Y
40,3519560,-,11773,,Y
41,3519561,-,11773,KHONG KINH DOANH,N
42,3509230,Gio nhua sieu thi lon-TPTS,11773,NGUNG KINH DOANH,N
43,3509231,C-B.nuoc nhua282/287/382-500ml,11773,NGUNG KINH DOANH,N
44,3509233,-,11773,,Y
45,3509234,-,11773,,Y
46,3509236,-,11773,,Y
47,3283554,-,11773,,Y
48,3368148,C-Ke chen kieu DT736/4-4ngan,11773,NGUNG KINH DOANH,N
49,3368149,C-Ke chen DT K626/3-3ngan nho,11773,NGUNG KINH DOANH,N
50,3368150,-,11773,,Y
51,3368151,-,11773,,Y
52,3476194,-,11773,,Y
53,3476195,-,11773,,Y
54,3476196,-,11773,,Y
55,3476198,-,11773,,Y
56,3476199,-,11773,,Y
57,3476200,-,11773,,Y
58,3476201,C-Ro dan vanh trung-1105,11773,NGUNG KINH DOANH,N
59,3476202,-,11773,,Y
60,3543870,-,11773,,Y
61,3544246,-,11773,,Y
62,3218628,-,11773,KHONG KINH DOANH,N
63,3517621,-,11773,KHONG KINH DOANH,N
64,3541545,-,11773,NGUNG KINH DOANH,N
65,3557783,-,11773,,Y
66,3557782,-,11773,,Y
67,3554246,Sot nhua tron soc nho-1333,11773,,Y
68,3448562,Tu nhua Wing-L-2canh,11773,KHONG KINH DOANH,N
69,3448564,Binh da nhua Icool 851-10L,11773,,Y
70,3419927,Tu nhua Wing DT737-4 canh,11773,KHONG KINH DOANH,N
71,3385771,-,11773,KHONG KINH DOANH,N
72,3520753,-,11773,,Y
73,3295021,C-Ro nhua cai 4T0-40cm,11773,NGUNG KINH DOANH,N
74,3295023,C-Ro nhua cai 5T0-50cm,11773,NGUNG KINH DOANH,N
75,3412002,C-B.loc nuoc Matsu H028-25L,11773,NGUNG KINH DOANH,N
76,3403438,-,11773,,Y
77,3459960,-,11773,KHONG KINH DOANH,N
78,3556029,Thotnhua2maunho29.1x20.2x1.1cm,11773,KHONG KINH DOANH,N
79,3490336,-,11773,,Y
80,3055152,-,11773,,Y
81,3055153,-,11773,,Y
82,3055154,-,11773,,Y
83,3055204,-,11773,,Y
84,3260451,Tu nhua mini TOMI 183/3 3ngan,11773,,Y
85,3260454,-,11773,,Y
86,3314547,-,11773,,Y
87,3382940,-,11773,,Y
88,3382941,Thung da nhua DuyTan0239 -25L,11773,KHONG KINH DOANH,N
89,3031987,Ca DUYTAN MS-761 nho 1L,11773,,Y
90,3031988,-,11773,,Y
91,3031989,-,11773,,Y
92,3032106,-,11773,,Y
93,3457912,C-Sot nhua vuong nhi0941,11773,NGUNG KINH DOANH,N
94,3457913,C-Sot nhua vuong nho0940,11773,NGUNG KINH DOANH,N
95,3457914,-,11773,,Y
96,3457915,-,11773,,Y
97,3279756,-,11773,,Y
98,3279757,-,11773,,Y
99,3325237,-,11773,,Y
100,3444318,-,11773,,Y
101,3389078,-,11773,,Y
102,3493317,C-Thung rac ECO bo2,11773,NGUNG KINH DOANH,N
103,3493318,-,11773,KHONG KINH DOANH,N
104,3390753,C-Ghe nhua dua baby 0700,11773,NGUNG KINH DOANH,N
105,3390754,Ghe nhua cao luoi 0469,11773,KHONG KINH DOANH,N
106,3390755,-,11773,,Y
107,3422584,Binh g.nhiet nhua DT1055-750ml,11773,,Y
108,3392947,-,11773,,Y
109,3555039,Thau nhua trong Matsu 1340-2T0,11773,KHONG KINH DOANH,N
110,3134265,-,11773,KHONG KINH DOANH,N
111,3479552,-,11773,,Y
112,3434401,C-Hu nhua cn dungtp Matsu900ml,11773,NGUNG KINH DOANH,N
113,3434402,C-Hu nhua cn dungtp Matsu1.4L,11773,NGUNG KINH DOANH,N
114,3434403,C-Hu nhua cn dung tp Matsu1.8L,11773,NGUNG KINH DOANH,N
115,3434405,C-Ghe nhua nho 7 soc,11773,NGUNG KINH DOANH,N
116,3515856,-,11773,KHONG KINH DOANH,N
117,3419926,-,11773,KHONG KINH DOANH,N
118,3523181,-,11773,KHONG KINH DOANH,N
119,3523363,-,11773,KHONG KINH DOANH,N
120,3523364,-,11773,KHONG KINH DOANH,N
121,3523365,-,11773,KHONG KINH DOANH,N
122,3521071,-,11773,KHONG KINH DOANH,N
123,3521072,-,11773,,Y
124,3521073,-,11773,NGUNG KINH DOANH,N
125,3521074,-,11773,KHONG KINH DOANH,N
126,3480412,-,11773,,Y
127,3480413,C-Thau nhua sau 6T0-60cm,11773,NGUNG KINH DOANH,N
128,3480422,-,11773,,Y
129,3403272,Ghe nhua the DT0774/75,11773,,Y
130,3404154,Ke chen nap DT0379/3 3n nho,11773,KHONG KINH DOANH,N
131,3414888,Bo l.nha 360do Matsu 863-9L*,11773,KHONG KINH DOANH,N
132,3508978,-,11773,KHONG KINH DOANH,N
133,3487359,C-Ro nhua quai tron317-2T0,11773,NGUNG KINH DOANH,N
134,3487361,-,11773,KHONG KINH DOANH,N
135,3487363,C-Ro nhua quai tron321-3T6,11773,NGUNG KINH DOANH,N
136,3487364,C-Ro nhua quai tron322-4T0,11773,NGUNG KINH DOANH,N
137,3487674,-,11773,,Y
138,3288346,-,11773,,Y
139,3459152,C-Khay up chen nhua-0813,11773,NGUNG KINH DOANH,N
140,3513945,-,11773,,Y
141,3513947,Thung nhua cn DT-1244-90L,11773,KHONG KINH DOANH,N
142,3513972,C-Tu/Ke nhua Omni 1366/2-2ngan,11773,NGUNG KINH DOANH,N
143,3524413,C-B2B-Gao nuoc nhua cannho0981,11773,NGUNG KINH DOANH,N
144,3524414,C-B2B-Gao nuoc nhua canlon0982,11773,NGUNG KINH DOANH,N
145,3524415,C-B2B-Gao nuoc nhua saunho0872,11773,NGUNG KINH DOANH,N
146,3524416,C-B2B-Gao nuoc nhua saulon0873,11773,NGUNG KINH DOANH,N
147,3312777,C-Tu nhua Tomi A4 220/5-5ngan,11773,NGUNG KINH DOANH,N
148,3312779,-,11773,,Y
149,3312780,-,11773,,Y
150,3458930,-,11773,,Y
151,3446423,-,11773,,Y
152,3446427,C-Thau tam nhua Matsu dai,11773,NGUNG KINH DOANH,N
153,3081035,-,11773,,Y
154,3556424,-,11773,KHONG KINH DOANH,N
155,3556030,Thotnhua2maulon36.7x25.3x1.4cm,11773,KHONG KINH DOANH,N
156,3392948,Ca nhua Tulip DT0463-2L,11773,,Y
157,3392949,Ca nhua Tulip DT0464-2.5L,11773,,Y
158,3392951,-,11773,,Y
159,3455364,C-Gio nhua 2quai oval Daily,11773,NGUNG KINH DOANH,N
160,3406717,-,11773,,Y
161,3406719,-,11773,,Y
162,3406721,-,11773,,Y
163,3406723,-,11773,,Y
164,3507585,-,11773,,Y
165,3419604,-,11773,,Y
166,3422258,-,11773,,Y
167,3422250,Bo thau ro nhua tron 0494-3T2,11773,KHONG KINH DOANH,N
168,3519233,-,11773,,Y
169,3392950,-,11773,,Y
170,3517502,-,11773,,Y
171,3390756,-,11773,,Y
172,3476197,Ro nhua dan cao 1101-1T4,11773,KHONG KINH DOANH,N
173,3011823,C-Ro DUYTAN 670-32cm,11773,NGUNG KINH DOANH,N
174,3509235,-,11773,,Y
175,3438240,-,11773,,Y
176,3436536,-,11773,,Y
177,3434404,-,11773,NGUNG KINH DOANH,N
178,3552975,-,11773,,Y
179,3368152,Thung nhua cn DT H117-30L,11773,KHONG KINH DOANH,N
180,3548188,Hunhua Matsu bat giac858-900ml,11773,KHONG KINH DOANH,N
181,3548189,-,11773,,Y
182,3548191,-,11773,,Y
183,3555041,-,11773,KHONG KINH DOANH,N
184,3448563,-,11773,,Y
185,3555042,-,11773,KHONG KINH DOANH,N
186,3546767,-,11773,,Y
187,3555040,Thau nhua trong Matsu 1341-3T6,11773,KHONG KINH DOANH,N
188,3503276,Ghe nhua trung xep1390,11773,KHONG KINH DOANH,N
189,3503277,C-Tu nhua Omni 1366-5 ngan,11773,NGUNG KINH DOANH,N
190,3419131,-,11773,,Y
191,3422582,-,11773,,Y
192,3490338,Moc ao nhua treo 1248 - 8 kep,11773,KHONG KINH DOANH,N
193,3312781,-,11773,,Y
194,3342478,-,11773,,Y
195,3065101,Thung nhua DUYTAN 750 cnhat30l,11773,KHONG KINH DOANH,N
196,3065131,Bo gia vi nhuaDUYTAN771-4cai,11773,KHONG KINH DOANH,N
197,3533214,-,11773,,Y
198,3533215,-,11773,,Y
199,3535595,-,11773,,Y
200,3535596,-,11773,,Y
201,3536397,-,11773,,Y
202,3536398,-,11773,,Y
203,3536399,-,11773,,Y
204,3536400,-,11773,,Y
205,3168725,C-Thau nhua Duy Tan H041 36cm,11773,NGUNG KINH DOANH,N
206,3168726,C-Thau nhua Duy Tan H045 20cm,11773,NGUNG KINH DOANH,N
207,3168727,-,11773,,Y
208,3168728,C-Thau nhua Duy Tan H047 28cm,11773,NGUNG KINH DOANH,N
209,3168729,-,11773,,Y
210,3168730,-,11773,,Y
