STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
1,3436535,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
2,3507857,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
3,3507858,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
4,3517501,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh ,Y
5,3517622,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh ,Y
6,3518223,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Ngung kinh doanh,N
7,3554245,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
8,3550852,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
9,3430008,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh ,Y
10,3430009,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh ,Y
11,3430010,16964,100-CTy TNHH Tan Hop Thanh,Ngung kinh doanh,N
12,3554248,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh ,Y
13,3543335,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Ngung kinh doanh,N
14,3552977,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh ,Y
15,3348369,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh ,Y
16,3550808,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh ,Y
17,3547927,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
18,3541465,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Ngung kinh doanh,N
19,3541466,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Ngung kinh doanh,N
20,3552978,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh ,Y
21,3552976,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh ,Y
22,3518675,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh ,Y
23,3518676,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Ngung kinh doanh,N
24,3554249,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh ,Y
25,3554247,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh ,Y
26,3536487,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Ngung kinh doanh,N
27,3528752,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh ,Y
28,3550848,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
29,3550850,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
30,3542949,16964,100-CTy TNHH Tan Hop Thanh,Ngung kinh doanh,N
31,3542950,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh ,Y
32,3519234,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh ,Y
33,3404156,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
34,3507586,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
35,3554236,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Ngung kinh doanh,N
36,3426542,12995,100-CTy CP CB Go Duc Thanh-NR,Dang kinh doanh ,Y
37,3426543,12995,100-CTy CP CB Go Duc Thanh-NR,Dang kinh doanh ,Y
38,3437855,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh ,Y
