STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS,
11,3518223,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),BAN CHAM,N,
18,3543335,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),BAN CHAM,N,
21,3550808,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KDBT,Y,
24,3541465,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),BAN CHAM,N,
25,3541466,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KHONG KD,N,
31,3518675,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KDBT,Y,
32,3518676,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),LCC,N,
36,3536487,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),BAN CHAM,N,
37,3528752,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KDBT,Y,
48,3554236,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KDBT,Y,
80,3501372,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KDBT,Y,
118,3538419,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),HANG KM,Y,
124,3557777,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),BAN CHAM,N,
129,3534601,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),LCC,N,
182,3533694,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),BAN CHAM,N,
183,3533695,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),LCC,N,
279,3493423,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KHONG KD,N,
280,3493424,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KHONG KD,N,
297,3538906,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),BAN CHAM,N,
298,3538907,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),LCC,N,
319,3506580,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KDBT,Y,
327,3531392,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KDBT,Y,
338,3523140,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KDBT,Y,
339,3523141,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),LCC,N,
427,3496126,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KDBT,Y,
428,3496127,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KDBT,Y,
448,3528748,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),BAN CHAM,N,
449,3528749,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KDBT,Y,
450,3528750,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KDBT,Y,
508,3535085,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),BAN CHAM,N,
577,3537737,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),BAN CHAM,N,
594,3550806,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),BAN CHAM,N,
608,3534020,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),BAN CHAM,N,
609,3535084,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),BAN CHAM,N,
612,3535608,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),BAN CHAM,N,
621,3536484,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KDBT,Y,
622,3536485,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KDBT,Y,
623,3536486,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KDBT,Y,
644,3518674,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KDBT,Y,
645,3518677,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),BAN CHAM,N,
655,3557778,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KDBT,Y,
753,3543334,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KDBT,Y,
804,3504123,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KDBT,Y,
805,3504124,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),MA C,N,
807,3537715,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KDBT,Y,
809,3538420,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),HANG KM,Y,
819,3538908,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),KDBT,Y,
836,3541467,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),BAN CHAM,N,
521,3477798,18833,100-Cong ty CP TD Kim Duc -NR,BAN CHAM,N,
522,3477799,18833,100-Cong ty CP TD Kim Duc -NR,BAN CHAM,N,
523,3477800,18833,100-Cong ty CP TD Kim Duc -NR,BAN CHAM,N,
529,3473447,18833,100-Cong ty CP TD Kim Duc -NR,LCC,N,
73,3190990,11777,100-CT CP Nhua Rang Dong Long An-NR,KDBT,Y,
74,3190991,11777,100-CT CP Nhua Rang Dong Long An-NR,KDBT,Y,
344,3430483,11777,100-CT CP Nhua Rang Dong Long An-NR,KDBT,Y,
345,3430484,11777,100-CT CP Nhua Rang Dong Long An-NR,KDBT,Y,
346,3430485,11777,100-CT CP Nhua Rang Dong Long An-NR,BAN CHAM,N,
714,3217698,11777,100-CT CP Nhua Rang Dong Long An-NR,BAN CHAM,N,
223,3397927,11011,100-CT TNHH SX Do Gia DungElmich-NR,KDBT,Y,
262,3444794,11011,100-CT TNHH SX Do Gia DungElmich-NR,BAN CHAM,N,
513,3392119,11011,100-CT TNHH SX Do Gia DungElmich-NR,KDBT,Y,
514,3392121,11011,100-CT TNHH SX Do Gia DungElmich-NR,BAN CHAM,N,
541,3455946,11011,100-CT TNHH SX Do Gia DungElmich-NR,KDBT,Y,
49,3426542,12995,100-CTy CP CB Go Duc Thanh-NR,KDBT,Y,
50,3426543,12995,100-CTy CP CB Go Duc Thanh-NR,KDBT,Y,
58,3520312,20888,100-Cty CP SX TM Nhua Hoang Chau-NR,KDBT,Y,
59,3520313,20888,100-Cty CP SX TM Nhua Hoang Chau-NR,KDBT,Y,
820,3540798,20888,100-Cty CP SX TM Nhua Hoang Chau-NR,KDBT,Y,
62,3055281,10985,100-Cty TM&PT Cong Nghe Kolend,BAN CHAM,N,
63,3055284,10985,100-Cty TM&PT Cong Nghe Kolend,KDBT,Y,
64,3055286,10985,100-Cty TM&PT Cong Nghe Kolend,BAN CHAM,N,
