STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
71,3317725,10023,111-Cty Ajinomoto Bien Hoa ,,Y
75,3416065,10023,111-Cty Ajinomoto Bien Hoa ,,Y
76,3416066,10023,111-Cty Ajinomoto Bien Hoa ,,Y
77,3416071,10023,111-Cty Ajinomoto Bien Hoa ,,Y
160,3005073,10023,111-Cty Ajinomoto Bien Hoa ,,Y
161,3005075,10023,111-Cty Ajinomoto Bien Hoa ,,Y
162,3005077,10023,111-Cty Ajinomoto Bien Hoa ,,Y
172,3295355,10023,111-Cty Ajinomoto Bien Hoa ,,Y
206,3258064,10023,111-Cty Ajinomoto Bien Hoa ,,Y
227,3489126,10023,111-Cty Ajinomoto Bien Hoa ,Khong KD,N
478,3524289,10023,111-Cty Ajinomoto Bien Hoa ,"LCC , NGUNG KINH DOANH",N
499,3356234,10023,111-Cty Ajinomoto Bien Hoa ,,Y
512,3192836,10023,111-Cty Ajinomoto Bien Hoa ,,Y
519,3286741,10023,111-Cty Ajinomoto Bien Hoa ,,Y
603,3532867,10023,111-Cty Ajinomoto Bien Hoa ,,Y
616,3536326,10023,111-Cty Ajinomoto Bien Hoa ,,Y
625,3126487,10023,111-Cty Ajinomoto Bien Hoa ,,Y
695,3282731,10023,111-Cty Ajinomoto Bien Hoa ,,Y
708,3467853,10023,111-Cty Ajinomoto Bien Hoa ,,Y
709,3214107,10023,111-Cty Ajinomoto Bien Hoa ,,Y
710,3216135,10023,111-Cty Ajinomoto Bien Hoa ,,Y
721,3377186,10023,111-Cty Ajinomoto Bien Hoa ,,Y
736,3401492,10023,111-Cty Ajinomoto Bien Hoa ,,Y
737,3401493,10023,111-Cty Ajinomoto Bien Hoa ,,Y
738,3401494,10023,111-Cty Ajinomoto Bien Hoa ,,Y
757,3290133,10023,111-Cty Ajinomoto Bien Hoa ,,Y
758,3290134,10023,111-Cty Ajinomoto Bien Hoa ,,Y
766,3345933,10023,111-Cty Ajinomoto Bien Hoa ,,Y
768,3229501,10023,111-Cty Ajinomoto Bien Hoa ,,Y
769,3231570,10023,111-Cty Ajinomoto Bien Hoa ,,Y
859,3503221,10023,111-Cty Ajinomoto Bien Hoa ,Khong KD,N
62,3055281,10985,100-Cty TM&PT Cong Nghe Kolend,,Y
63,3055284,10985,100-Cty TM&PT Cong Nghe Kolend,,Y
64,3055286,10985,100-Cty TM&PT Cong Nghe Kolend,,Y
65,3055287,10985,100-Cty TM&PT Cong Nghe Kolend,,Y
66,3055288,10985,100-Cty TM&PT Cong Nghe Kolend,,Y
67,3055289,10985,100-Cty TM&PT Cong Nghe Kolend,,Y
68,3055291,10985,100-Cty TM&PT Cong Nghe Kolend,,Y
69,3062359,10985,100-Cty TM&PT Cong Nghe Kolend,,Y
94,3103381,10985,100-Cty TM&PT Cong Nghe Kolend,,Y
95,3103382,10985,100-Cty TM&PT Cong Nghe Kolend,,Y
491,3311633,10985,100-Cty TM&PT Cong Nghe Kolend,,Y
520,3371132,10985,100-Cty TM&PT Cong Nghe Kolend,,Y
223,3397927,11011,100-CT TNHH SX Do Gia DungElmich-NR,,Y
262,3444794,11011,100-CT TNHH SX Do Gia DungElmich-NR,,Y
513,3392119,11011,100-CT TNHH SX Do Gia DungElmich-NR,,Y
514,3392121,11011,100-CT TNHH SX Do Gia DungElmich-NR,,Y
541,3455946,11011,100-CT TNHH SX Do Gia DungElmich-NR,,Y
51,3427995,11119,110-Cty TNHH Lotte Viet Nam,"LCC , NGUNG KINH DOANH",N
52,3427998,11119,110-Cty TNHH Lotte Viet Nam,,Y
92,3102394,11119,110-Cty TNHH Lotte Viet Nam,Khong KD,N
93,3102395,11119,110-Cty TNHH Lotte Viet Nam,Khong KD,N
132,3348492,11119,110-Cty TNHH Lotte Viet Nam,,Y
176,3453969,11119,110-Cty TNHH Lotte Viet Nam,,Y
228,3489128,11119,110-Cty TNHH Lotte Viet Nam,Khong KD,N
272,3143098,11119,110-Cty TNHH Lotte Viet Nam,,Y
314,3492416,11119,110-Cty TNHH Lotte Viet Nam,KHONG KD,N
361,3512339,11119,110-Cty TNHH Lotte Viet Nam,"LCC , NGUNG KINH DOANH",N
369,3521651,11119,110-Cty TNHH Lotte Viet Nam,KHONG KD,N
370,3521652,11119,110-Cty TNHH Lotte Viet Nam,KHONG KD,N
394,3110011,11119,110-Cty TNHH Lotte Viet Nam,,Y
395,3110012,11119,110-Cty TNHH Lotte Viet Nam,,Y
401,3460189,11119,110-Cty TNHH Lotte Viet Nam,KHONG KD,N
432,3224617,11119,110-Cty TNHH Lotte Viet Nam,,Y
477,3524202,11119,110-Cty TNHH Lotte Viet Nam,,Y
510,3150386,11119,110-Cty TNHH Lotte Viet Nam,,Y
526,3365210,11119,110-Cty TNHH Lotte Viet Nam,,Y
527,3365211,11119,110-Cty TNHH Lotte Viet Nam,,Y
530,3276842,11119,110-Cty TNHH Lotte Viet Nam,,Y
531,3276843,11119,110-Cty TNHH Lotte Viet Nam,,Y
599,3318852,11119,110-Cty TNHH Lotte Viet Nam,,Y
602,3361960,11119,110-Cty TNHH Lotte Viet Nam,"LCC , NGUNG KINH DOANH",N
660,3352990,11119,110-Cty TNHH Lotte Viet Nam,,Y
720,3337528,11119,110-Cty TNHH Lotte Viet Nam,,Y
735,3400708,11119,110-Cty TNHH Lotte Viet Nam,,Y
786,3545693,11119,110-Cty TNHH Lotte Viet Nam,Khong KD,N
796,3201689,11119,110-Cty TNHH Lotte Viet Nam,,Y
797,3205668,11119,110-Cty TNHH Lotte Viet Nam,,Y
851,3199550,11119,110-Cty TNHH Lotte Viet Nam,,Y
856,3495684,11119,110-Cty TNHH Lotte Viet Nam,,Y
857,3502829,11119,110-Cty TNHH Lotte Viet Nam,Khong KD,N
158,3005069,11266,110-Cty CP Tap Doan Muoi Mien Nam,,Y
159,3005070,11266,110-Cty CP Tap Doan Muoi Mien Nam,,Y
189,3054454,11266,110-Cty CP Tap Doan Muoi Mien Nam,Khong KD,N
140,3173260,11841,130-Cty TNHH Saigon Ve Wong,,Y
485,3040978,11841,130-Cty TNHH Saigon Ve Wong,,Y
486,3040979,11841,130-Cty TNHH Saigon Ve Wong,,Y
487,3040982,11841,130-Cty TNHH Saigon Ve Wong,,Y
488,3040983,11841,130-Cty TNHH Saigon Ve Wong,,Y
489,3040988,11841,130-Cty TNHH Saigon Ve Wong,,Y
70,3063378,12015,130-CTY TNHH TM&CBTP Tien Du,KHONG KD,N
429,3004519,12015,130-CTY TNHH TM&CBTP Tien Du,,Y
430,3004551,12015,130-CTY TNHH TM&CBTP Tien Du,,Y
257,3442428,12320,111-Cty TNHH MTV TNI,KHONG KD,N
258,3442429,12320,111-Cty TNHH MTV TNI,KHONG KD,N
259,3442481,12320,111-Cty TNHH MTV TNI,KHONG KD,N
277,3493351,12320,111-Cty TNHH MTV TNI,KHONG KD,N
278,3493352,12320,111-Cty TNHH MTV TNI,KHONG KD,N
287,3481810,12320,111-Cty TNHH MTV TNI,,Y
353,3440244,12320,111-Cty TNHH MTV TNI,Khong KD,N
354,3440249,12320,111-Cty TNHH MTV TNI,,Y
355,3440252,12320,111-Cty TNHH MTV TNI,"LCC , NGUNG KINH DOANH",N
506,3468909,12320,111-Cty TNHH MTV TNI,Khong KD,N
