ITEM,VENDOR,DESCR,NOTE,NH
3436535,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3507730,20846,111-Cty Co Phan Tap Doan KIDO ,PKD - G?1,2
3507731,20846,111-Cty Co Phan Tap Doan KIDO ,PKD - G?1,2
3507857,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3507858,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3517119,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3517120,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3517121,15506,111-Cty Bot giat LIX-NR,HNR - G?1,3
3517501,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3517622,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3518223,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3554245,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3550852,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3430008,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3430009,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3430010,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3554248,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3543335,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3552977,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3348369,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3550808,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3547927,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3463102,15790,110-CTy CP HMP My Hao,PKD - G?1,3
3541465,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3541466,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3552978,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3552976,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3541459,15800,110-Cty TNHH 1TV Tri Hoi,PKD - G?1,3
3541460,15800,110-Cty TNHH 1TV Tri Hoi,PKD - G?1,3
3422431,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,HNR - G?1,3
3518675,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3518676,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3554249,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3513556,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,PKD - G?1,3
3554247,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3536487,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3528752,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3515339,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,HNR - G?1,3
3196366,15800,110-Cty TNHH 1TV Tri Hoi,PKD - G?1,3
3196367,15800,110-Cty TNHH 1TV Tri Hoi,PKD - G?1,3
3550848,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3550850,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3542949,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3542950,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3519234,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3404156,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3507586,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3554236,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3426542,12995,100-CTy CP CB Go Duc Thanh-NR,HNR - G?1,4
3426543,12995,100-CTy CP CB Go Duc Thanh-NR,HNR - G?1,4
3427995,11119,110-Cty TNHH Lotte Viet Nam,PKD - G?1,2
3427998,11119,110-Cty TNHH Lotte Viet Nam,PKD - G?1,2
3437855,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3437856,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3438238,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3519560,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3519561,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3520312,20888,100-Cty CP SX TM Nhua Hoang Chau-NR,HNR - G?1,4
3520313,20888,100-Cty CP SX TM Nhua Hoang Chau-NR,HNR - G?1,4
3493826,17639,100-Cty TNHH Eikodo Viet Nam-NR,HNR - G?1,2
3055280,12989,100-CTY TNHH SAMRAN,PKD - G?1,4
3055281,10985,100-Cty TM&PT Cong Nghe Kolend,PKD - G?1,4
3055284,10985,100-Cty TM&PT Cong Nghe Kolend,PKD - G?1,4
3055286,10985,100-Cty TM&PT Cong Nghe Kolend,PKD - G?1,4
3055287,10985,100-Cty TM&PT Cong Nghe Kolend,PKD - G?1,4
3055288,10985,100-Cty TM&PT Cong Nghe Kolend,PKD - G?1,4
3055289,10985,100-Cty TM&PT Cong Nghe Kolend,PKD - G?1,4
3055291,10985,100-Cty TM&PT Cong Nghe Kolend,PKD - G?1,4
3062359,10985,100-Cty TM&PT Cong Nghe Kolend,PKD - G?1,4
3063378,12015,130-CTY TNHH TM&CBTP Tien Du,PKD - G?1,2
3317725,10023,111-Cty Ajinomoto Bien Hoa ,PKD - G?1,2
3318296,16964,100-CTy TNHH Tan Hop Thanh,PKD - G?1,4
3190990,11777,100-CT CP Nhua Rang Dong Long An-NR,HNR - G?1,4
3190991,11777,100-CT CP Nhua Rang Dong Long An-NR,HNR - G?1,4
3416065,10023,111-Cty Ajinomoto Bien Hoa ,PKD - G?1,2
3416066,10023,111-Cty Ajinomoto Bien Hoa ,PKD - G?1,2
3416071,10023,111-Cty Ajinomoto Bien Hoa ,PKD - G?1,2
3416680,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,PKD - G?1,2
3416681,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,PKD - G?1,2
3501372,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),PKD - G?1,4
3501639,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,HNR - G?1,3
3501640,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,HNR - G?1,3
3501641,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,HNR - G?1,3
3509230,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3509231,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3509233,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3509234,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3509236,11773,110-CTy CP SX Nhua Duy Tan,PKD - G?1,4
3101964,13979,100-CTy TNHH Thuong Mai L.H,PKD - G?1,4
3101976,13979,100-CTy TNHH Thuong Mai L.H,PKD - G?1,4
3102010,13979,100-CTy TNHH Thuong Mai L.H,PKD - G?1,4
3102394,11119,110-Cty TNHH Lotte Viet Nam,PKD - G?1,2
3102395,11119,110-Cty TNHH Lotte Viet Nam,PKD - G?1,2
3103381,10985,100-Cty TM&PT Cong Nghe Kolend,PKD - G?1,4
3103382,10985,100-Cty TM&PT Cong Nghe Kolend,PKD - G?1,4
3103653,15348,130-CTY CP SX Tra Hung Phat,PKD - G?1,2
3103654,15348,130-CTY CP SX Tra Hung Phat,PKD - G?1,2
