STRNUM,STRNAM,STCITY,STSDAT,STPOLL,STRHDO
38,Xi Nghiep Nuoc Cham Nam Duong,HCM,140618,N,S
39,Head office-Cua Hang Ben Thanh,HCM,140618,N,S
101,KSD-Co.opMart Cong Quynh,HCM,0,N,S
103,KSD-Co.opMart Hau Giang,HCM,0,N,S
112,Co.opMart Quy Nhon,Binh Dinh,31213,Y,S
113,KSD-Cty TNHH TM Saigon CanTho,Can Tho,81020,N,S
114,Co.opMart My Tho,Tien Giang,60120,Y,S
118,Co.opMart Phan Thiet,"TP Phan Thiet,BThuan",60506,Y,S
119,Co.opMart Long Xuyen,Tinh An Giang,60506,Y,S
120,Co.opMart Vinh Long,Tinh Vinh Long,60506,Y,S
121,Co.opMart Vi Thanh,Tinh Hau Giang,60506,Y,S
122,Co.opMart Tuy Hoa,Tinh PHU YEN,60506,Y,S
123,Co.opMart Pleiku,Tinh Gia Lai,60506,Y,S
124,Co.opMart Bien Hoa,Tinh Dong Nai,60506,Y,S
125,NKD-Co.opMart Pham Van Hai,TP Ho Chi Minh,81101,N,S
127,Co.opMart Dong Xoai,Tinh Binh Phuoc,81206,Y,S
128,Co.opMart Da Nang,Da Nang,91201,Y,S
130,Co.opMart Rach Mieu,TP.Ho Chi Minh,90901,Y,S
131,Co.opMart Vung Tau,Tinh BRVT,60506,Y,S
132,Co.opMart Tam Ky,QUANG NAM,61117,Y,S
133,Co.opMart Nhieu Loc,HCM,71030,Y,S
134,Co.opMart Tuy Ly Vuong,Ho Chi MInh,80614,Y,S
135,Co.opMart 96 Hung Vuong,HCM,80310,Y,S
136,Co.opMart Binh Tan,HCM,71212,Y,S
137,Co.opMart Hue,Thua Thien Hue,80404,Y,S
138,Co.opMart Buon Ma Thuot,Dac lac,81101,Y,S
139,KSD-Co.opMart Ba Ria,"TP.BaRia,BR-Vung Tau",90101,N,S
140,Co.opMart Nha Trang,Khanh Hoa,130616,Y,S
141,Co.opMart Nguyen Anh Thu,Ho Chi Minh,81107,Y,S
142,Co.opMart Bac Lieu 2,Bac Lieu,80614,Y,S
144,Co.opMart Kien Giang,Kien Giang,90805,Y,S
145,Co.opMart Quang Ngai,Quang Ngai,100628,Y,S
146,Co.opMart Bac Lieu 1,Bac Lieu,0,N,S
147,Co.opMart Soc Trang,Soc Trang,101115,Y,S
148,Co.opMart Thanh Ha,Ninh Thuan,90526,Y,S
149,NKD-Co.opMart Suoi Tien,Ho chi Minh,81220,N,S
150,Co.opMart Ha Tinh,Ha Tinh,90901,Y,S
151,Co.opMart Cong Quynh,Ho chi Minh,80612,Y,S
152,Co.opMart Hoc Mon,HCM,91001,Y,S
153,Co.opMart Hau Giang,Ho Chi Minh,80612,Y,S
154,Co.opMart Phu Tho,Ho Chi Minh,80612,Y,S
155,Co.opMart Nguyen Dinh Chieu,Ho Chi Minh,80612,Y,S
156,NKD-Co.opMart Dinh Tien Hoang,Ho Chi Minh,80612,N,S
157,Co.opMart Phu Lam,Ho Chi Minh,80612,Y,S
158,Co.opMart Thang Loi,Ho Chi Minh,80612,Y,S
159,Co.opMart Huynh Tan Phat,Ho Chi Minh,80612,Y,S
160,Co.opMart Nguyen Kiem,Ho Chi Minh,80612,Y,S
161,Co.opMart Xa Lo Ha Noi,Ho Chi Minh,80612,Y,S
162,Co.opMart Phan Van Tri,HCM,100101,Y,S
163,NKD-Co.opMart Tan Bien,Dong nai,91201,N,S
164,Co.opMart Ha Noi,Ha noi,100222,Y,S
165,NKD-Co.opMart BMC,Ho Chi Minh,80612,N,S
166,NKD-Co.opMart An Dong,Ho Chi Minh,80612,Y,S
167,Co.opMart Dong Ha,Quang Tri,90930,Y,S
168,Co.opMart Dong Tien,HCM,101230,N,S
169,Co.opMart Quang Truong Quoc Te,HCM,101230,N,S
170,Co.opMart Tra Vinh,Tra Vinh,120201,Y,S
171,Co.opMart Nga Bay Hau Giang,Hau Giang,131213,Y,S
172,Co.opMart Da Lat,Lam Dong,0,N,S
173,Co.opMart Bao Loc,Lam Dong,111024,Y,S
174,Co.opMart Cam Ranh,Khanh Hoa,101022,Y,S
175,Co.opMart Cu Chi,HCM,110401,Y,S
176,Co.opMart Tay Ninh,Tay Ninh,110812,Y,S
177,KSD-Co.opMart Ca Mau,Ca Mau,101231,N,S
178,Co.opMart Hoa Binh,HCM,111201,Y,S
179,Co.opMart Vinh Phuc,"TP.VinhYen,Vinh Phuc",111231,Y,S
180,Co.opMart Can Gio,"Thanh,H.CanThanh-HCM",111201,Y,S
181,NKD-Co.opMart Hoa Hao,"P3, Q10, HCM",121209,N,S
183,Co.opMart Hai Phong,Hai Phong,120516,Y,S
184,Co.opMart Rach Gia,Kien Giang,120620,Y,S
185,Co.opMart Thanh Hoa,Thanh Hoa,130130,Y,S
186,Co.opMart Binh Trieu,HCM,130531,Y,S
187,Co.opMart Can Tho,Can Tho,130814,Y,S
189,Co.opMart Trang Bang,Tay Ninh,131017,Y,S
190,NKD-Co.opMart Hoang Mai,TP.Ha Noi,131112,N,S
191,NKD-Co.opMart Vung Tau 2,Ba Ria-Vung Tau,131125,N,S
193,KSD-Co.opMart Vinh Loc B,"Binh Chanh,HCM",140212,N,S
194,KSD-Co.opMart Do Van Day,"Hoc Mon, HCM",140715,N,S
201,KSD-CHTP Phan Van Tri,Ho Chi Minh,81127,N,S
202,KSD-CHTP Pasteur,Ho Chi Minh,81127,N,S
203,KSD-CHTP Tran Chanh Chieu,HCM,90504,N,S
204,KSD-CHTP Chu Van An,HCM,90504,N,S
205,KSD-CHTP Dong Thanh,HCM,91001,N,S
206,KSD-CHTP Binh Chieu,Ho chi mInh,91201,N,S
207,KSD-CHTP Le Van Sy,Ho Chi Minh,91201,N,S
208,KSD-CHTP Cho Lon,HCM,100101,N,S
211,CH Co.opFood Phan Van Tri,HCM,100315,Y,S
212,CH Co.opFood Pasteur,HCM,100315,Y,S
213,CH Co.opFood Tran Chanh Chieu,HCM,100315,Y,S
214,CH Co.opFood Chu Van An,HCM,100315,Y,S
215,CH Co.opFood Dong Thanh,HCM,100315,Y,S
216,NKD-CH Co.opFood Binh Chieu,HCM,100310,N,S
217,CH Co.opFood Le Van Sy,HCM,100224,Y,S
218,CH Co.opFood Cho Lon,HCM,100310,Y,S
219,KSD-CH Co.opFood Hoang Van Thu,HCM,100302,N,S
220,CH Co.opFood Bach Ma,HCM,100506,Y,S
221,CH Co.opFood Dang Van Bi,Ho Chi Minh,100629,Y,S
222,NKD-CH Co.opFood 3 Thang 2,HCM,100721,N,S
223,NKD-CH Co.opFood Cao Lo,HCM,101015,N,S
224,NKD-CH Co.opFood Cau Kinh,HCM,101129,N,S
225,CH Co.opFood Tan Thoi Hiep,HCM,101130,Y,S
226,CH Co.opFood Phuc An Loc,HCM,101229,Y,S
227,CH Co.opFood Linh Trung,Thu Duc-HCM,110426,Y,S
228,CH Co.opFood Nguyen Ba Tong,HCM,110524,Y,S
229,CH Co.opFood Le Duc Tho,HCM,110530,Y,S
230,CH Co.opFood Le Quang Dinh,HCM,110701,Y,S
231,NKD-CH Co.opFood Binh Hoa,HCM,110831,N,S
232,NKD-CH Co.opFood Ba Chieu,HCM,110822,N,S
233,CH Co.opFood Nguyen Thi Dinh,HCM,110913,Y,S
234,CH Co.opFood Le Van Tho,HCM,110920,Y,S
235,NKD-CH Co.opFood Binh Tien,HCM,111025,N,S
236,CH Co.opFood Thao Dien,HCM,111115,Y,S
237,CH Co.opFood Binh Trung,HCM,111129,Y,S
238,CH Co.opFood Hiep Binh,HCM,111220,Y,S
239,CH Co.opFood Phu Loi,HCM,111223,Y,S
240,CH Co.opFood Tran Quang Khai,HCM,120202,Y,S
242,KSD-CH Co.opFood BinhTrungDong,HCM,120315,N,S
243,CH Co.opFood Nguyen Van Qua,HCM,120406,Y,S
244,CH Co.opFood Cho Cau,HCM,120406,Y,S
245,CH Co.opFood Nguyen Oanh,HCM,120508,Y,S
246,CH Co.opFood Nguyen Cuu Dam,HCM,120508,Y,S
247,CH Co.opFood Lam Van Ben,HCM,120605,Y,S
248,NKD-CH Co.opFood Pham Phu Thu,HCM,120605,N,S
249,CH Co.opFood Tran Xuan Soan,HCM,120628,Y,S
250,NKD-CH Co.opFood CMT8,HCM,120807,N,S
251,CH Co.opFood Do Xuan Hop,HCM,120926,Y,S
252,KSD-CH Co.opFood Binh Phu,HCM,120928,N,S
253,CH Co.opFood To Ngoc Van,HCM,121031,Y,S
254,CH Co.opFood Vinh Hoi,HCM,121128,Y,S
255,CH Co.opFood Pham The Hien,HCM,121130,Y,S
256,CH Co.opFood Phu Xuan,HCM,130326,Y,S
257,CH Co.opFood Pham Van Chieu,HCM,130424,Y,S
258,NKD-CH Co.opFood Pham Huu Lau,HCM,130426,N,S
259,CH Co.opFood Le Van Quoi,HCM,130524,Y,S
260,NKD-CH Co.opFood Tan Ky TanQuy,HCM,130529,N,S
261,CH Co.opFood Quang Trung,HCM,130605,Y,S
262,CH Co.opFood Huynh Tan Phat,HCM,130605,Y,S
263,CH Co.opFood Nha Be,HCM,130717,Y,S
264,NKD-CH Co.opFood Huong Lo 2,HCM,130814,N,S
265,CH Co.opFood Truong Tho,HCM,130912,Y,S
266,KSD-CH Co.opFood Long Phuoc,Ho Chi Minh,131007,N,S
267,CH Co.opFood Kha Van Can,Ho Chi Minh,131007,Y,S
268,NKD-CH Co.opFood Binh Quoi,Ho Chi Minh,131007,N,S
269,CH Co.opFood Bach Dang,HCM,131111,Y,S
270,CH Co.opFood KCN Tan Thoi Hiep,Ho Chi Minh,131118,Y,S
271,NKD-CH Co.opFood KCN Tan Binh,CNIII-TanPhu-HCM,131118,N,S
272,CH Co.opFood KCN Hiep Phuoc,Nha Be-HCM,131118,Y,S
273,KSD-CH Co.opFood Long Hau,Long An,131118,N,S
274,CH Co.opFood Le Van Viet,Ho Chi Minh,131118,Y,S
275,CH Co.opFood KCN Vinh Loc,Ho Chi Minh,131118,Y,S
276,CH Co.opFood KCN Tay Bac,Ho Chi Minh,131118,Y,S
277,CH Co.opFood Truong Cong Dinh,HCM,131120,Y,S
278,CH Co.opFood Pham Van Bach,Ho Chi Minh,131204,Y,S
279,CH Co.opFood Ton That Thuyet,Ho Chi Minh,131204,Y,S
280,CH Co.opFood To Hien Thanh,Ho Chi Minh,131204,Y,S
281,CH Co.opFood Truong Dinh Hoi,HCM,140317,Y,S
282,CH Co.opFood Quoc Lo 50,HCM,140407,Y,S
283,NKD-CH Co.opFood Tay Thanh,HCM,140407,N,S
284,CH Co.opFood Ung Van Khiem,HCM,140506,Y,S
285,KSD-CH Co.opFood Tinh Lo 10,HCM,140509,N,S
286,CH Co.opFood Thap Muoi,HCM,140513,Y,S
287,CH Co.opFood Go Xoai,HCM,140513,Y,S
288,NKD-CH Co.opFood To Ky,HCM,140602,N,S
289,CH Co.opFood Bui Dinh Tuy,HCM,140612,Y,S
290,CH Co.opFood Nguyen Van Tang,HCM,140709,Y,S
291,CH Co.opFood Le Van Khuong,HCM,140807,Y,S
298,CH Co.opFood Hung Phu,HCM,150518,Y,S
299,Head Office Cty TNHHMTV TP SGC,HCM,100224,N,O
300,KSD-Cty TNHH SGCoop-FairPrice,HCM,121116,N,O
301,Co-opXtra Linh Trung,HCM,121116,Y,S
601,CTY TNHH Truyen Thong SGCO.OP,HCM,110910,Y,S
706,TC Co.opFood Binh Chieu206,Binh Duong,0,N,S
707,TC Co.opFood Le Van Sy-207,Binh Duong,91201,N,S
711,TC CHCF Phan Van Tri-100,Binh Duong,100910,N,S
712,TC CHCF Pasteur-100,Binh Duong,100910,N,S
713,TC CHCF Tran Chanh Chieu-100,Binh Duong,100910,N,S
714,TC CHCF Chu Van An-100,Binh Duong,100910,N,S
715,TC CHCF Dong Thanh-100,Binh Duong,100910,N,S
716,TC CHCF Binh Chieu-100,Binh Duong,100210,N,S
717,TC CHCF Le Van Sy-100,Binh Duong,100210,N,S
718,TC CHCF Cho Lon-100,Binh Duong,100710,N,S
719,TC CHCF Hoang Van Thu-100,Binh Duong,100302,N,S
720,TC CHCF Bach Ma-100,Binh Duong,100506,N,S
721,TC CHCF Dang Van Bi-100,Binh Duong,100629,N,S
722,TC CHCF 3 thang 2-100,Binh Duong,100721,N,S
723,TC CHCF Cao Lo-100,Binh Duong,101015,N,S
724,TC CHCF Cau Kinh-100,Binh duong,101129,N,S
725,TC CHCF Tan Thoi Hiep-100,Binh Duong,101130,N,S
726,TC CHCF Phuc An Loc-100,Binh Duong,101229,N,S
727,TC CHCF Linh Trung-100,Binh Duong,110428,N,S
728,TC CHCF Nguyen Ba Tong-100,Binh Duong,110524,N,S
729,TC CHCF Le Duc Tho-100,Binh Duong,110530,N,S
730,TC CHCF Le Quang Dinh-100,Binh Duong,110701,N,S
731,TC CHCF Binh Hoa-100,Binh Duong,110831,N,S
732,TC CHCF Ba Chieu-100,Binh Duong,110822,N,S
733,TC CHCF Nguyen Thi Dinh-100,Binh Duong,110913,N,S
734,TC CHCF Le Van Tho-100,Binh Duong,0,N,S
735,TC CHCF Binh Tien-100,Binh Duong,111025,N,S
736,TC CHCF Thao Dien-100,Binh Duong,111115,N,S
737,TC CHCF Binh Trung-100,Binh Duong,111129,N,S
738,TC CHCF Hiep Binh-100,Binh Duong,0,N,S
739,TC CHCF Phu Loi-100,Binh Duong,111223,N,S
740,TC CHCF Tran Quang Khai-100,Binh Duong,120202,N,S
741,TC CHCF Nguyen Bieu-100,Binh Duong,120215,N,S
742,TC CHCF Binh Trung Dong-100,Binh Duong,120315,N,S
743,TC CHCF Nguyen Van Qua-100,Binh Duong,120406,N,S
744,TC CHCF Cho Cau-100,Binh Duong,120406,N,S
745,TC CHCF Nguyen Oanh-100,Binh Duong,120508,N,S
746,TC CHCF Nguyen Cuu Dam-100,Binh Duong,120508,N,S
747,TC CHCF Lam Van Ben-100,Binh Duong,120605,N,S
748,TC CHCF Pham Phu Thu-100,Binh Duong,120605,N,S
749,TC CHCF Tran Xuan Soan-100,Binh Duong,120628,N,S
750,TC CHCF Cach Mang Thang 8-100,Binh Duong,120807,N,S
751,TC CHCF Do Xuan Hop-100,Binh Duong,120926,N,S
752,TC CHCF Binh Phu-100,Binh Duong,120928,N,S
753,TC CHCF To Ngoc Van-100,Binh Duong,121031,N,S
754,TC CHCF Vinh Hoi-100,Binh Duong,121128,N,S
755,TC CHCF Pham The Hien-100,Binh Duong,121130,N,S
756,TC CHCF Phu Xuan-100,Binh Duong,130326,N,S
757,TC CHCF Pham Van Chieu-100,Binh Duong,130424,N,S
758,TC CHCF Pham Huu Lau-100,Binh Duong,130426,N,S
759,TC CHCF Le Van Quoi-100,Binh Duong,130524,N,S
