STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
1,3517119,15506,111-Cty Bot giat LIX-NR,,Y
2,3517120,15506,111-Cty Bot giat LIX-NR,,Y
3,3517121,15506,111-Cty Bot giat LIX-NR,,Y
4,3422431,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,,Y
5,3513556,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,,Y
6,3515339,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,,Y
7,3501639,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,,Y
8,3501640,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,,Y
9,3501641,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,,Y
10,3329700,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,,Y
11,3386499,15506,111-Cty Bot giat LIX-NR,,Y
12,3386500,15506,111-Cty Bot giat LIX-NR,,Y
13,3386501,15506,111-Cty Bot giat LIX-NR,,Y
14,3386502,15506,111-Cty Bot giat LIX-NR,,Y
15,3386503,15506,111-Cty Bot giat LIX-NR,,Y
16,3386504,15506,111-Cty Bot giat LIX-NR,,Y
17,3386505,15506,111-Cty Bot giat LIX-NR,,Y
18,3386506,15506,111-Cty Bot giat LIX-NR,,Y
19,3386507,15506,111-Cty Bot giat LIX-NR,,Y
20,3386508,15506,111-Cty Bot giat LIX-NR,,Y
21,3386509,15506,111-Cty Bot giat LIX-NR,,Y
22,3491227,15506,111-Cty Bot giat LIX-NR,,Y
23,3008485,12483,110-Cty TNHH SXTM TyTy(HMP),,Y
24,3295614,15506,111-Cty Bot giat LIX-NR,,Y
25,3497823,15506,111-Cty Bot giat LIX-NR,,Y
26,3372479,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,,Y
27,3054651,12483,110-Cty TNHH SXTM TyTy(HMP),,Y
28,3257943,16760,110-Cua Hang Hue Lam,,Y
29,3257947,16760,110-Cua Hang Hue Lam,,Y
30,3257948,16760,110-Cua Hang Hue Lam,,Y
31,3314153,15506,111-Cty Bot giat LIX-NR,,Y
32,3314154,15506,111-Cty Bot giat LIX-NR,,Y
33,3123559,12483,110-Cty TNHH SXTM TyTy(HMP),,Y
34,3250058,15506,111-Cty Bot giat LIX-NR,,Y
35,3250059,15506,111-Cty Bot giat LIX-NR,,Y
36,3284516,15506,111-Cty Bot giat LIX-NR,,Y
37,3008472,14653,110-DNTN Dai Phat,,Y
38,3008478,12483,110-Cty TNHH SXTM TyTy(HMP),,Y
39,3008479,12483,110-Cty TNHH SXTM TyTy(HMP),,Y
40,3008481,12483,110-Cty TNHH SXTM TyTy(HMP),,Y
41,3008482,12483,110-Cty TNHH SXTM TyTy(HMP),,Y
42,3008490,12483,110-Cty TNHH SXTM TyTy(HMP),,Y
43,3449108,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,,Y
44,3140316,14530,110-Co so Nguyen Van Sau,,Y
45,3493891,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,,Y
46,3493892,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,,Y
47,3525066,21076,110-Cong Ty TNHH SALACOS -NR,,Y
48,3282741,16760,110-Cua Hang Hue Lam,,Y
49,3535758,21076,110-Cong Ty TNHH SALACOS -NR,,Y
50,3515340,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,,Y
51,3515343,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,,Y
52,3513552,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,,Y
53,3513554,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,,Y
54,3513555,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,,Y
55,3521129,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,,Y
56,3521130,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,,Y
57,3521131,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,,Y
58,3314147,15506,111-Cty Bot giat LIX-NR,,Y
59,3452209,15506,111-Cty Bot giat LIX-NR,,Y
60,3452211,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,,Y
61,3452217,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,,Y
62,3452218,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,,Y
63,3452220,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,,Y
64,3452222,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,,Y
65,3452223,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,,Y
66,3184818,15506,111-Cty Bot giat LIX-NR,,Y
67,3184823,15506,111-Cty Bot giat LIX-NR,,Y
68,3184824,15506,111-Cty Bot giat LIX-NR,,Y
69,3500596,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,,Y
70,3160021,15506,111-Cty Bot giat LIX-NR,,Y
71,3160022,15506,111-Cty Bot giat LIX-NR,,Y
72,3160023,15506,111-Cty Bot giat LIX-NR,,Y
73,3160024,15506,111-Cty Bot giat LIX-NR,,Y
74,3288046,15800,110-Cty TNHH 1TV Tri Hoi,,Y
75,3333828,15506,111-Cty Bot giat LIX-NR,,Y
