STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
1,3436535,11773,110-CTy CP SX Nhua Duy Tan,,Y
4,3507857,11773,110-CTy CP SX Nhua Duy Tan,,Y
5,3507858,11773,110-CTy CP SX Nhua Duy Tan,,Y
9,3517501,11773,110-CTy CP SX Nhua Duy Tan,,Y
10,3517622,11773,110-CTy CP SX Nhua Duy Tan,,Y
11,3518223,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),khong kinh doanh,N
12,3554245,11773,110-CTy CP SX Nhua Duy Tan,,Y
13,3550852,11773,110-CTy CP SX Nhua Duy Tan,ban cham,N
14,3430008,16964,100-CTy TNHH Tan Hop Thanh,,Y
15,3430009,16964,100-CTy TNHH Tan Hop Thanh,,Y
16,3430010,16964,100-CTy TNHH Tan Hop Thanh,khong kinh doanh,N
17,3554248,11773,110-CTy CP SX Nhua Duy Tan,,Y
18,3543335,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),ban cham,N
19,3552977,11773,110-CTy CP SX Nhua Duy Tan,,Y
20,3348369,16964,100-CTy TNHH Tan Hop Thanh,,Y
21,3550808,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,Y
22,3547927,11773,110-CTy CP SX Nhua Duy Tan,khong kinh doanh,N
24,3541465,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),ban cham,N
25,3541466,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),ban cham,N
26,3552978,11773,110-CTy CP SX Nhua Duy Tan,,Y
27,3552976,11773,110-CTy CP SX Nhua Duy Tan,,Y
31,3518675,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),ban cham,N
32,3518676,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,Y
33,3554249,11773,110-CTy CP SX Nhua Duy Tan,,Y
35,3554247,11773,110-CTy CP SX Nhua Duy Tan,,Y
36,3536487,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,Y
37,3528752,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,Y
41,3550848,11773,110-CTy CP SX Nhua Duy Tan,ban cham,N
42,3550850,11773,110-CTy CP SX Nhua Duy Tan,ban cham,N
43,3542949,16964,100-CTy TNHH Tan Hop Thanh,,Y
44,3542950,16964,100-CTy TNHH Tan Hop Thanh,,Y
45,3519234,11773,110-CTy CP SX Nhua Duy Tan,,Y
46,3404156,11773,110-CTy CP SX Nhua Duy Tan,khong kinh doanh,N
47,3507586,11773,110-CTy CP SX Nhua Duy Tan,,Y
