STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
1,3436535,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
2,3507730,20846,111-Cty Co Phan Tap Doan KIDO ,Dang kinh doanh,Y
3,3507731,20846,111-Cty Co Phan Tap Doan KIDO ,Dang kinh doanh,Y
4,3507857,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
5,3507858,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
6,3517119,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
7,3517120,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
8,3517121,15506,111-Cty Bot giat LIX-NR,Dang kinh doanh,Y
9,3517501,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
10,3517622,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
11,3518223,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
12,3554245,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
13,3550852,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
14,3430008,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
15,3430009,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
16,3430010,16964,100-CTy TNHH Tan Hop Thanh,ngung kinh doanh,N
17,3554248,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
18,3543335,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),khong KD,N
19,3552977,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
20,3348369,16964,100-CTy TNHH Tan Hop Thanh,khong KD,N
21,3550808,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
22,3547927,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
23,3463102,15790,110-CTy CP HMP My Hao,Ngung kinh doanh,N
24,3541465,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),khong KD,N
25,3541466,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),khong KD,N
26,3552978,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
27,3552976,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
28,3541459,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
29,3541460,15800,110-Cty TNHH 1TV Tri Hoi,Ngung kinh doanh,N
30,3422431,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,Dang kinh doanh,Y
31,3518675,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),khong KD,N
32,3518676,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),khong KD,N
33,3554249,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
34,3513556,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,Dang kinh doanh,Y
35,3554247,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
36,3536487,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),khong KD,N
37,3528752,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
38,3515339,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,Dang kinh doanh,Y
39,3196366,15800,110-Cty TNHH 1TV Tri Hoi,Dang kinh doanh,Y
40,3196367,15800,110-Cty TNHH 1TV Tri Hoi,Dang kinh doanh,Y
41,3550848,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
42,3550850,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
43,3542949,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
44,3542950,16964,100-CTy TNHH Tan Hop Thanh,Dang kinh doanh,Y
45,3519234,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
46,3404156,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
47,3507586,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
48,3554236,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),Dang kinh doanh,Y
49,3426542,12995,100-CTy CP CB Go Duc Thanh-NR,Dang kinh doanh,Y
50,3426543,12995,100-CTy CP CB Go Duc Thanh-NR,Dang kinh doanh,Y
51,3427995,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
52,3427998,11119,110-Cty TNHH Lotte Viet Nam,Dang kinh doanh,Y
53,3437855,11773,110-CTy CP SX Nhua Duy Tan,khong KD,N
54,3437856,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
55,3438238,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
56,3519560,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
57,3519561,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
58,3520312,20888,100-Cty CP SX TM Nhua Hoang Chau-NR,Dang kinh doanh,Y
59,3520313,20888,100-Cty CP SX TM Nhua Hoang Chau-NR,Dang kinh doanh,Y
