STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
1,3505767,19219,130-Cty TNHH Nabati Viet Nam,MA C  VA MA KM ,N
2,3054454,11266,110-Cty CP Tap Doan Muoi Mien Nam,MA C  VA MA KM ,N
3,3488562,17259,100-Cty TNHH Le Trung Thien-NR,BAN CHAM,N
4,3488563,17259,100-Cty TNHH Le Trung Thien-NR,BAN CHAM,N
5,3441648,20846,111-Cty Co Phan Tap Doan KIDO ,BAN CHAM,N
6,3442428,12320,111-Cty TNHH MTV TNI,BAN CHAM,N
7,3442429,12320,111-Cty TNHH MTV TNI,BAN CHAM,N
8,3442481,12320,111-Cty TNHH MTV TNI,BAN CHAM,N
9,3493351,12320,111-Cty TNHH MTV TNI,BAN CHAM,N
10,3493352,12320,111-Cty TNHH MTV TNI,BAN CHAM,N
11,3390935,19028,110-Cty CP Vinamit-NR,BAN CHAM,N
13,3479885,19219,130-Cty TNHH Nabati Viet Nam,MA C  VA MA KM ,N
14,3492416,11119,110-Cty TNHH Lotte Viet Nam,MA C  VA MA KM ,N
15,3431913,20846,111-Cty Co Phan Tap Doan KIDO ,MA C  VA MA KM ,N
16,3431914,20846,111-Cty Co Phan Tap Doan KIDO ,MA C  VA MA KM ,N
17,3440244,12320,111-Cty TNHH MTV TNI,BAN CHAM,N
18,3440249,12320,111-Cty TNHH MTV TNI,BAN CHAM,N
19,3440252,12320,111-Cty TNHH MTV TNI,BAN CHAM,N
20,3440951,17259,100-Cty TNHH Le Trung Thien-NR,BAN CHAM,N
21,3440952,17259,100-Cty TNHH Le Trung Thien-NR,BAN CHAM,N
22,3440953,17259,100-Cty TNHH Le Trung Thien-NR,BAN CHAM,N
23,3440955,17259,100-Cty TNHH Le Trung Thien-NR,BAN CHAM,N
24,3521651,11119,110-Cty TNHH Lotte Viet Nam,MA C  VA MA KM ,N
25,3495074,19219,130-Cty TNHH Nabati Viet Nam,MA C  VA MA KM ,N
26,3529246,19219,130-Cty TNHH Nabati Viet Nam,MA C  VA MA KM ,N
27,3529247,19219,130-Cty TNHH Nabati Viet Nam,MA C  VA MA KM ,N
28,3530120,20846,111-Cty Co Phan Tap Doan KIDO ,MA C  VA MA KM ,N
29,3530121,20846,111-Cty Co Phan Tap Doan KIDO ,MA C  VA MA KM ,N
30,3530295,20846,111-Cty Co Phan Tap Doan KIDO ,MA C  VA MA KM ,N
31,3437747,20846,111-Cty Co Phan Tap Doan KIDO ,MA C  VA MA KM ,N
32,3509078,15348,130-CTY CP SX Tra Hung Phat,MA C  VA MA KM ,N
33,3450830,20846,111-Cty Co Phan Tap Doan KIDO ,MA C  VA MA KM ,N
34,3298228,20846,111-Cty Co Phan Tap Doan KIDO ,MA C  VA MA KM ,N
35,3447980,20846,111-Cty Co Phan Tap Doan KIDO ,MA C  VA MA KM ,N
