STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
1,3383606,13468,100-CTY TNHH SAMRAN-NR,Dang kinh doanh,Y
2,3383607,13468,100-CTY TNHH SAMRAN-NR,Dang kinh doanh,Y
3,3383608,13468,100-CTY TNHH SAMRAN-NR,Dang kinh doanh,Y
4,3383609,13468,100-CTY TNHH SAMRAN-NR,Dang kinh doanh,Y
5,3494100,13468,100-CTY TNHH SAMRAN-NR,Dang kinh doanh,Y
6,3494101,13468,100-CTY TNHH SAMRAN-NR,Dang kinh doanh,Y
7,3494102,13468,100-CTY TNHH SAMRAN-NR,Dang kinh doanh,Y
8,3494103,13468,100-CTY TNHH SAMRAN-NR,Dang kinh doanh,Y
9,3520312,20888,100-Cty CP SX TM Nhua Hoang Chau-NR,Dang kinh doanh,Y
10,3520313,20888,100-Cty CP SX TM Nhua Hoang Chau-NR,Dang kinh doanh,Y
11,3540798,20888,100-Cty CP SX TM Nhua Hoang Chau-NR,Dang kinh doanh,Y
12,3477798,18833,100-Cong ty CP TD Kim Duc -NR,DM ton kho LCC,N
13,3477799,18833,100-Cong ty CP TD Kim Duc -NR,Ngung kinh doanh,N
14,3477800,18833,100-Cong ty CP TD Kim Duc -NR,Dang kinh doanh,Y
15,3473447,18833,100-Cong ty CP TD Kim Duc -NR,Ngung kinh doanh,N
16,3190990,11777,100-CT CP Nhua Rang Dong Long An-NR,Dang kinh doanh,Y
17,3190991,11777,100-CT CP Nhua Rang Dong Long An-NR,DM ton kho LCC,N
18,3430483,11777,100-CT CP Nhua Rang Dong Long An-NR,Dang kinh doanh,Y
19,3430484,11777,100-CT CP Nhua Rang Dong Long An-NR,Dang kinh doanh,Y
20,3430485,11777,100-CT CP Nhua Rang Dong Long An-NR,Dang kinh doanh,Y
21,3217698,11777,100-CT CP Nhua Rang Dong Long An-NR,Dang kinh doanh,Y
22,3397927,11011,100-CT TNHH SX Do Gia DungElmich-NR,Dang kinh doanh,Y
23,3444794,11011,100-CT TNHH SX Do Gia DungElmich-NR,Dang kinh doanh,Y
24,3392119,11011,100-CT TNHH SX Do Gia DungElmich-NR,Dang kinh doanh,Y
25,3392121,11011,100-CT TNHH SX Do Gia DungElmich-NR,Dang kinh doanh,Y
26,3455946,11011,100-CT TNHH SX Do Gia DungElmich-NR,Dang kinh doanh,Y
27,3426542,12995,100-CTy CP CB Go Duc Thanh-NR,Dang kinh doanh,Y
28,3426543,12995,100-CTy CP CB Go Duc Thanh-NR,Dang kinh doanh,Y
29,3436535,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
30,3507857,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
31,3507858,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
32,3517501,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
33,3517622,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
34,3554245,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
35,3550852,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
36,3554248,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
37,3552977,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
38,3547927,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
39,3552978,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
40,3552976,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
41,3554249,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
42,3554247,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
43,3550848,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
44,3550850,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
45,3519234,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
46,3404156,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
47,3507586,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
48,3437855,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
49,3437856,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
50,3438238,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
51,3519560,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
52,3519561,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
53,3509230,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
54,3509231,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
55,3509233,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
56,3509234,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
57,3509236,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
58,3283554,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
59,3368148,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
60,3368149,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
61,3368150,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
62,3368151,11773,110-CTy CP SX Nhua Duy Tan,Ngung kinh doanh,N
63,3476194,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
64,3476195,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
65,3476196,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
66,3476198,11773,110-CTy CP SX Nhua Duy Tan,Dang kinh doanh,Y
