STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
1,3436535,11773,110-CTy CP SX Nhua Duy Tan,,N
2,3507730,20846,111-Cty Co Phan Tap Doan KIDO ,,N
3,3507731,20846,111-Cty Co Phan Tap Doan KIDO ,,N
4,3507857,11773,110-CTy CP SX Nhua Duy Tan,,N
5,3507858,11773,110-CTy CP SX Nhua Duy Tan,,N
6,3517119,15506,111-Cty Bot giat LIX-NR,,N
7,3517120,15506,111-Cty Bot giat LIX-NR,,N
8,3517121,15506,111-Cty Bot giat LIX-NR,,N
9,3517501,11773,110-CTy CP SX Nhua Duy Tan,,N
10,3517622,11773,110-CTy CP SX Nhua Duy Tan,,N
11,3518223,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,N
12,3554245,11773,110-CTy CP SX Nhua Duy Tan,,N
13,3550852,11773,110-CTy CP SX Nhua Duy Tan,,N
14,3430008,16964,100-CTy TNHH Tan Hop Thanh,,N
15,3430009,16964,100-CTy TNHH Tan Hop Thanh,,N
16,3430010,16964,100-CTy TNHH Tan Hop Thanh,,N
17,3554248,11773,110-CTy CP SX Nhua Duy Tan,,N
18,3543335,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,N
19,3552977,11773,110-CTy CP SX Nhua Duy Tan,,N
20,3348369,16964,100-CTy TNHH Tan Hop Thanh,,N
21,3550808,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,N
22,3547927,11773,110-CTy CP SX Nhua Duy Tan,,N
23,3463102,15790,110-CTy CP HMP My Hao,,N
24,3541465,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,N
25,3541466,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,N
26,3552978,11773,110-CTy CP SX Nhua Duy Tan,,N
27,3552976,11773,110-CTy CP SX Nhua Duy Tan,,N
28,3541459,15800,110-Cty TNHH 1TV Tri Hoi,,N
29,3541460,15800,110-Cty TNHH 1TV Tri Hoi,,N
30,3422431,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,,N
31,3518675,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,N
32,3518676,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,N
33,3554249,11773,110-CTy CP SX Nhua Duy Tan,,N
34,3513556,20779,111-CTyTNHH WILMAR MARKETING CLV-HP,,N
35,3554247,11773,110-CTy CP SX Nhua Duy Tan,,N
36,3536487,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,N
37,3528752,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,N
38,3515339,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,,N
39,3196366,15800,110-Cty TNHH 1TV Tri Hoi,,N
40,3196367,15800,110-Cty TNHH 1TV Tri Hoi,,N
41,3550848,11773,110-CTy CP SX Nhua Duy Tan,,N
42,3550850,11773,110-CTy CP SX Nhua Duy Tan,,N
43,3542949,16964,100-CTy TNHH Tan Hop Thanh,,N
44,3542950,16964,100-CTy TNHH Tan Hop Thanh,,N
45,3519234,11773,110-CTy CP SX Nhua Duy Tan,,N
46,3404156,11773,110-CTy CP SX Nhua Duy Tan,,N
47,3507586,11773,110-CTy CP SX Nhua Duy Tan,,N
48,3554236,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,N
49,3426542,12995,100-CTy CP CB Go Duc Thanh-NR,,N
50,3426543,12995,100-CTy CP CB Go Duc Thanh-NR,,N
51,3427995,11119,110-Cty TNHH Lotte Viet Nam,,N
52,3427998,11119,110-Cty TNHH Lotte Viet Nam,KD nhung ban  cham,Y
53,3437855,11773,110-CTy CP SX Nhua Duy Tan,,N
54,3437856,11773,110-CTy CP SX Nhua Duy Tan,,N
55,3438238,11773,110-CTy CP SX Nhua Duy Tan,,N
56,3519560,11773,110-CTy CP SX Nhua Duy Tan,,N
57,3519561,11773,110-CTy CP SX Nhua Duy Tan,,N
58,3520312,20888,100-Cty CP SX TM Nhua Hoang Chau-NR,,N
59,3520313,20888,100-Cty CP SX TM Nhua Hoang Chau-NR,,N
60,3493826,17639,100-Cty TNHH Eikodo Viet Nam-NR,,N
61,3055280,12989,100-CTY TNHH SAMRAN,,N
62,3055281,10985,100-Cty TM&PT Cong Nghe Kolend,,N
63,3055284,10985,100-Cty TM&PT Cong Nghe Kolend,,N
64,3055286,10985,100-Cty TM&PT Cong Nghe Kolend,,N
65,3055287,10985,100-Cty TM&PT Cong Nghe Kolend,,N
66,3055288,10985,100-Cty TM&PT Cong Nghe Kolend,,N
67,3055289,10985,100-Cty TM&PT Cong Nghe Kolend,,N
68,3055291,10985,100-Cty TM&PT Cong Nghe Kolend,,N
69,3062359,10985,100-Cty TM&PT Cong Nghe Kolend,,N
70,3063378,12015,130-CTY TNHH TM&CBTP Tien Du,,N
71,3317725,10023,111-Cty Ajinomoto Bien Hoa ,kd binh thuong,Y
72,3318296,16964,100-CTy TNHH Tan Hop Thanh,,N
73,3190990,11777,100-CT CP Nhua Rang Dong Long An-NR,,N
74,3190991,11777,100-CT CP Nhua Rang Dong Long An-NR,,N
75,3416065,10023,111-Cty Ajinomoto Bien Hoa ,,N
76,3416066,10023,111-Cty Ajinomoto Bien Hoa ,kd binh thuong,Y
77,3416071,10023,111-Cty Ajinomoto Bien Hoa ,kd binh thuong,Y
78,3416680,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,,N
79,3416681,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,,N
80,3501372,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),,N
81,3501639,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,,N
82,3501640,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,,N
83,3501641,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,,N
84,3509230,11773,110-CTy CP SX Nhua Duy Tan,,N
85,3509231,11773,110-CTy CP SX Nhua Duy Tan,,N
86,3509233,11773,110-CTy CP SX Nhua Duy Tan,,N
87,3509234,11773,110-CTy CP SX Nhua Duy Tan,,N
88,3509236,11773,110-CTy CP SX Nhua Duy Tan,,N
89,3101964,13979,100-CTy TNHH Thuong Mai L.H,,N
90,3101976,13979,100-CTy TNHH Thuong Mai L.H,,N
91,3102010,13979,100-CTy TNHH Thuong Mai L.H,,N
