STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS
491,3311633,10985,100-Cty TM&PT Cong Nghe Kolend,dang kinh doanh,Y
63,3055284,10985,100-Cty TM&PT Cong Nghe Kolend,dang kinh doanh,Y
62,3055281,10985,100-Cty TM&PT Cong Nghe Kolend,dang kinh doanh,Y
69,3062359,10985,100-Cty TM&PT Cong Nghe Kolend,dang kinh doanh,Y
64,3055286,10985,100-Cty TM&PT Cong Nghe Kolend,dang kinh doanh,Y
95,3103382,10985,100-Cty TM&PT Cong Nghe Kolend,dang kinh doanh,Y
94,3103381,10985,100-Cty TM&PT Cong Nghe Kolend,dang kinh doanh,Y
67,3055289,10985,100-Cty TM&PT Cong Nghe Kolend,dang kinh doanh,Y
66,3055288,10985,100-Cty TM&PT Cong Nghe Kolend,dang kinh doanh,Y
68,3055291,10985,100-Cty TM&PT Cong Nghe Kolend,dang kinh doanh,Y
65,3055287,10985,100-Cty TM&PT Cong Nghe Kolend,dang kinh doanh,Y
520,3371132,10985,100-Cty TM&PT Cong Nghe Kolend,dang kinh doanh,Y
513,3392119,11011,100-CT TNHH SX Do Gia DungElmich-NR,dang kinh doanh,Y
514,3392121,11011,100-CT TNHH SX Do Gia DungElmich-NR,dang kinh doanh,Y
223,3397927,11011,100-CT TNHH SX Do Gia DungElmich-NR,dang kinh doanh,Y
262,3444794,11011,100-CT TNHH SX Do Gia DungElmich-NR,dang kinh doanh,Y
541,3455946,11011,100-CT TNHH SX Do Gia DungElmich-NR,dang kinh doanh,Y
403,3480412,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,Y
405,3480422,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,Y
9,3517501,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,Y
567,3517502,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,Y
185,3459960,11773,110-CTy CP SX Nhua Duy Tan,khong kinh doanh,N
1,3436535,11773,110-CTy CP SX Nhua Duy Tan,khong kinh doanh,N
134,3448564,11773,110-CTy CP SX Nhua Duy Tan,khong kinh doanh,N
582,3448563,11773,110-CTy CP SX Nhua Duy Tan,khong kinh doanh,N
573,3436536,11773,110-CTy CP SX Nhua Duy Tan,khong kinh doanh,N
362,3521071,11773,110-CTy CP SX Nhua Duy Tan,khong kinh doanh,N
363,3521072,11773,110-CTy CP SX Nhua Duy Tan,khong kinh doanh,N
566,3392950,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
517,3392951,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
295,3422584,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
829,3541391,11773,110-CTy CP SX Nhua Duy Tan,khong kinh doanh,N
86,3509233,11773,110-CTy CP SX Nhua Duy Tan,khong kinh doanh,N
560,3507585,11773,110-CTy CP SX Nhua Duy Tan,khong kinh doanh,N
754,3543871,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
426,3487674,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
620,3536400,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
701,3509253,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
647,3518682,11773,110-CTy CP SX Nhua Duy Tan,khong kinh doanh,N
157,3520753,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
596,3065131,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
47,3507586,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
53,3437855,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
55,3438238,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
274,3389078,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
411,3414888,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
852,3407767,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
648,3518688,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
507,3556424,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
562,3422258,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
745,3422259,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
742,3422249,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
563,3422250,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
743,3422251,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
572,3438240,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
230,3031987,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
231,3031988,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
232,3031989,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
494,3312779,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
211,3314547,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
790,3546391,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
749,3422581,11773,110-CTy CP SX Nhua Duy Tan,dang kinh doanh,N
