ITEM,VENDOR,STORE,STATUS
3442428,12320,186,N
3442429,12320,186,N
3493351,12320,186,N
3493352,12320,186,N
3475382,16964,186,N
3475665,16964,186,N
3357483,16964,186,N
3378042,16964,186,N
3336963,16964,186,N
3442428,12320,175,N
3442429,12320,175,N
3493351,12320,175,N
3493352,12320,175,N
3475382,16964,175,N
3475665,16964,175,N
3357483,16964,175,N
3372352,16964,175,N
3378042,16964,175,N
3336963,16964,175,N
3475382,16964,153,N
3475665,16964,153,N
3378042,16964,153,N
3442428,12320,133,N
3442429,12320,133,N
3493351,12320,133,N
3493352,12320,133,N
3475382,16964,133,N
3475665,16964,133,N
3357483,16964,133,N
3372352,16964,133,N
3378042,16964,133,N
3336963,16964,133,N
3343026,16964,133,N
3442428,12320,154,N
3442429,12320,154,N
3493351,12320,154,N
3493352,12320,154,N
3475382,16964,154,N
3475665,16964,154,N
3357483,16964,154,N
3378042,16964,154,N
3336962,16964,154,N
3336963,16964,154,N
3430010,16964,509,N
3475382,16964,509,N
3475665,16964,509,N
3357483,16964,509,N
3372352,16964,509,N
3378042,16964,509,N
3336962,16964,509,N
3336963,16964,509,N
3343026,16964,509,N
3336963,16964,161,N
3357483,16964,161,N
3378042,16964,161,N
3475382,16964,161,N
3475665,16964,161,N
3442428,12320,180,N
3442429,12320,180,N
3493351,12320,180,N
3493352,12320,180,N
3442428,12320,155,N
3442429,12320,155,N
3493351,12320,155,N
3493352,12320,155,N
3475382,16964,155,N
3475665,16964,155,N
3357483,16964,155,N
3372352,16964,155,N
3378042,16964,155,N
3336963,16964,155,N
3442428,12320,160,N
3442429,12320,160,N
3493351,12320,160,N
3493352,12320,160,N
3475382,16964,160,N
3475665,16964,160,N
3357483,16964,160,N
3378042,16964,160,N
3336963,16964,160,N
3442428,12320,157,N
3442429,12320,157,N
3493351,12320,157,N
3493352,12320,157,N
3442428,12320,130,N
3442429,12320,130,N
3493351,12320,130,Y
3493352,12320,130,Y
3442428,12320,556,N
3442429,12320,556,N
3493351,12320,556,N
3493352,12320,556,N
3430010,16964,196,N
3475382,16964,196,N
3475665,16964,196,N
3357483,16964,196,N
3378042,16964,196,N
3336963,16964,196,N
3475382,16964,141,N
3475665,16964,141,N
3357483,16964,141,N
3372352,16964,141,N
3378042,16964,141,N
3336963,16964,141,N
3442428,12320,541,N
3442429,12320,541,N
3493351,12320,541,N
3493352,12320,541,N
3475382,16964,159,N
3357483,16964,159,N
3372352,16964,159,N
3378042,16964,159,N
3336963,16964,159,N
3343026,16964,159,N
3442428,12320,159,N
3442429,12320,159,N
3493351,12320,159,N
3493352,12320,159,N
3475382,16964,162,N
3475665,16964,162,N
3357483,16964,162,N
3442428,12320,162,N
3442429,12320,162,N
3493351,12320,162,N
3493352,12320,162,N
3372352,16964,162,N
3378042,16964,162,N
3336963,16964,162,N
3343026,16964,162,N
3430010,16964,158,N
3475382,16964,158,N
3475665,16964,158,N
3357483,16964,158,N
3372352,16964,158,N
3378042,16964,158,N
3336963,16964,158,N
3442428,12320,158,N
3442429,12320,158,N
3493351,12320,158,N
3493352,12320,158,N
3475382,16964,134,N
3475665,16964,134,N
3357483,16964,134,N
3442428,12320,134,N
3442429,12320,134,N
3493351,12320,134,N
3493352,12320,134,N
3372352,16964,134,N
3378042,16964,134,N
3336963,16964,134,N
3357483,16964,506,N
3378042,16964,506,N
3475665,16964,506,N
3475382,16964,506,N
3336963,16964,506,N
3343026,16964,506,N
3493352,12320,506,N
3493351,12320,506,N
3442429,12320,506,N
3442428,12320,506,N
